"gene","FS","FR","PS","PR","Tsil","Trepl","nout","npop","BSnIPRE.class","BSnIPRE.est","BSnIPRE.lbound","BSnIPRE.ubound","BSnIPRE.pneg","BSnIPRE.Rest","BSnIPRE.Rlbound","BSnIPRE.Rubound","BSnIPRE.Rclass","BSnIPRE.tau","BSnIPRE.theta","BSnIPRE.gamma","BSnIPRE.f","BSnIPRE.f.lb","BSnIPRE.f.ub","BSnIPRE.f.class"
"GB40001",0,0,4,6,67,218,1,11,"neut",-0.690454510464154,-1.8703368678285,0.393020916509321,0.874933333333333,-0.961234823813175,-2.09063340309893,0.145105698071229,"neut",0.182284855241699,0.0167404813236139,-2.10472415582519,0.382399468748184,0.123607104100985,1.15615147125002,"neut"
"GB40002",0,0,1,1,46,125,1,11,"neut",-0.50765949628444,-1.82931644869111,0.80581435541077,0.78,-1.60133899723466,-3.42582711878596,0.120659632245359,"neut",2.9003845259285,0.006454054497468,-0.787935685606164,0.201606903766313,0.0325216688848967,1.12822137527601,"neut"
"GB40003",0,0,3,3,46.3333333333,151.666666667,1,11,"neut",-0.52966902322447,-1.70262326638357,0.645656027207547,0.7888,-1.38217426429773,-2.81341396194799,-0.015351783723146,"neg",0.469451129112843,0.0151275389615244,-1.27722774993158,0.251028103658033,0.059999216678548,0.984752397823803,"neg"
"GB40004",0,0,2,5,26.6666666667,114.333333333,1,11,"neut",-0.648889396624562,-1.82528161457245,0.528336216597,0.876,-0.696349429366018,-2.08680489184195,0.578301888598023,"neut",0.152972007826351,0.0176370397740002,-2.01826137353472,0.498393948358511,0.124081173257359,1.78300320107794,"neut"
"GB40005",9,2,13,4,169.333333333,406.666666667,1,11,"neut",0.115678157627085,-0.913305631139285,1.09753927212914,0.410133333333333,-2.28024964906847,-3.3579949608969,-1.36903842611415,"neg",0.533886629236892,0.0235431052479681,0.295634006855659,0.102240243149169,0.0348041321833217,0.254346814908602,"neg"
"GB40006",9,3,10,2,229,482,1,11,"neut",0.201566889638204,-0.860595710725367,1.23873970418859,0.36,-2.27436833515394,-3.50177397119272,-1.25195169476988,"neg",1.62678572823946,0.0130520191418168,0.400591094594167,0.10285449957518,0.0301435473212253,0.285942755232508,"neg"
"GB40007",235,25,473,33,4281.66666667,11855.3333333,1,11,"neut",0.447596487731035,-0.0470552338917037,0.950539706992981,0.0418666666666667,-3.69534006728427,-4.0496881094364,-3.35867131496227,"neg",0.350131254633207,0.0374709549899341,1.45716414519937,0.0248405648133108,0.0174274032891268,0.0347805853347512,"neg"
"GB40008",95,8,118,11,1633.33333333,4441.66666667,1,11,"neut",0.123109054292369,-0.617133437163591,0.868906905958659,0.3776,-3.45947414945358,-4.06969556423945,-2.91069489341788,"neg",1.12425809172893,0.0244258945300504,0.260625426635859,0.0314457768446284,0.0170821014675984,0.0544378022841402,"neg"
"GB40009",44,21,79,60,1047.66666667,3281.33333333,1,11,"neut",-0.275481211256345,-0.803385292343425,0.257128474390992,0.834133333333333,-1.45831560155492,-1.80019465878624,-1.14046613456075,"neg",0.334950895790735,0.0256349778016089,-0.728561918454981,0.232626332737931,0.165266654365334,0.31966978582523,"neg"
"GB40010",266,98,316,233,5665.33333333,16699.6666667,1,11,"neg",-0.605992878896148,-0.900161837040894,-0.347765785804686,1,-1.41497456694011,-1.5759187306051,-1.23961400830111,"neg",1.25842658984591,0.0191631061500753,-1.11759297878324,0.344985299473071,0.293701384197279,0.411115258076439,"neg"
"GB40011",0,2,7,6,110.666666667,345.333333333,1,11,"neut",-0.317706985238087,-1.42886579401893,0.738790462114431,0.7208,-1.16711321544641,-2.15865417087844,-0.154058728158945,"neg",0.27279243755937,0.0164155123405744,-0.874658596004535,0.311263847796936,0.115479794994716,0.857220791489612,"neg"
"GB40012",17,4,20,3,376,884,1,11,"neut",0.293320521078405,-0.68627567073864,1.21740996200991,0.271733333333333,-2.69016509873274,-3.6794173376195,-1.8115382536498,"neg",1.36982410811201,0.0167900027299519,0.621559549332506,0.0678678577424661,0.0252433162309437,0.163402521075635,"neg"
"GB40013",5,1,4,0,80,235,1,11,"neut",0.224687585212791,-1.00526644407567,1.47730588061321,0.350133333333333,-3.07325505521249,-4.91957991526809,-1.52798396417777,"neg",2.59865632222919,0.0118323136607733,0.411157045428479,0.0462431634610024,0.00727303739827969,0.21697233926964,"neg"
"GB40014",14,0,6,0,821.333333333,2367.66666667,1,11,"neut",-0.905386033243131,-2.07820999874514,0.182217017084569,0.943466666666667,-2.80600197315658,-4.15295456297132,-1.62093923285691,"neg",8.17670528673684,0.00245488762118138,-1.16688492446796,0.0604455242854695,0.0157176506990247,0.197719186811361,"neg"
"GB40015",21,2,6,2,384.666666667,1064.33333333,1,11,"neut",-0.257628892052416,-1.35331210003167,0.842666150912997,0.678933333333333,-2.68814475042366,-3.94184665550379,-1.53939654448327,"neg",6.54820109903938,0.00566377306892072,-0.375454493181557,0.0680050952603496,0.0193831179132808,0.214510282609958,"neg"
"GB40016",32,2,40,3,743.333333333,1974.66666667,1,11,"neut",0.00997677705574156,-0.987044416429237,1.00197630762615,0.492533333333333,-3.50925006350413,-4.47542200044081,-2.69252787825074,"neg",1.25116324853383,0.0174020867533064,0.0200452282116787,0.0299190602622206,0.011399963113834,0.0677077112517471,"neg"
"GB40017",22,4,4,0,920,2308,1,11,"neut",-0.528643368464848,-1.64711245681455,0.526923188531691,0.821866666666667,-2.2945383468424,-3.49066589063204,-1.09878487523961,"neg",15.477260169437,0.00161189389800683,-0.69160474832946,0.100828643777804,0.0304802054829323,0.33327569651081,"neg"
"GB40018",4,0,0,0,90.6666666667,242.333333333,1,11,"neut",-0.472485561324807,-1.70273455605922,0.836789736875952,0.766666666666667,-2.57479486824407,-4.4171447955136,-0.802896819273807,"neg",10.6529865621078,0.00291876825607168,-0.637213057437876,0.0761692921870425,0.0120689955856188,0.448027843981659,"neg"
"GB40019",5,4,2,0,237.666666667,680.333333333,1,11,"neut",-0.0996462173590492,-1.21400788816254,0.948710234784242,0.573866666666667,-1.87225556410956,-3.14279553625669,-0.540715347154501,"neg",8.87317315784996,0.002836691327238,-0.146526019335034,0.153776178729918,0.0431689236113475,0.582327299684936,"neg"
